	timeid	src	dst	delay	packetloss	link_usage	free_bandwidth
0	0	5	7		1.0	0.00015994668443852048	0.00015994668443852048
1	0	5	6		1.0	0.0005333333333333334	0.000528052805280528
2	0	1	7		1.0	0.0009173333333333334	0.0007223097112860892
3	0	1	4		1.0	0.0005706666666666666	0.0005434920634920634
4	0	2	8		1.0	0.000632	0.0005055999999999999
5	0	4	1		1.0	0.0005706666666666666	0.0005434920634920634
6	0	4	3		1.0	0.0005333333333333334	0.0004558404558404558
7	0	6	9		1.0	0.00034678226075358454	0.00031525660068507685
8	0	6	5		1.0	0.0005333333333333334	0.000528052805280528
9	0	19	20		1.0	0.00057104736490994	0.0005287475601017963
10	0	8	2		1.0	0.000632	0.0005055999999999999
11	0	7	1		1.0	0.0009173333333333334	0.0007223097112860892
12	0	7	5		1.0	0.00015994668443852048	0.00015994668443852048
13	0	20	19		1.0	0.00057104736490994	0.0005287475601017963
14	0	9	6		1.0	0.00034678226075358454	0.00031525660068507685
15	0	3	4		1.0	0.0005333333333333334	0.0004558404558404558
16	1	5	7	110.031	0.1	0.0012614770459081835	0.0012614770459081835
17	1	5	6	142.027	0.1	0.0008903698767077642	0.0008815543333740239
18	1	1	7	80.035	0.0666667	0.0001596806387225549	0.00012573278639571253
19	1	1	4	94.029	0.1	0.00032	0.0003047619047619048
20	1	2	8	82.028	0.0666667	0.0004453333333333333	0.00035626666666666663
21	1	4	1	94.029	0.1	0.00032	0.0003047619047619048
22	1	4	3	152.032	0.2	0.0008891846921797005	0.0007599869163929064
23	1	6	9	102.03	0.1	0.0007904191616766467	0.000718562874251497
24	1	6	5	142.027	0.1	0.0008903698767077642	0.0008815543333740239
25	1	19	20	108.028	0.2	0.0003199999999999999	0.0002962962962962962
26	1	8	2	82.028	0.0666667	0.0004453333333333333	0.00035626666666666663
27	1	7	1	80.035	0.0666667	0.0001596806387225549	0.00012573278639571253
28	1	7	5	110.031	0.1	0.0012614770459081835	0.0012614770459081835
29	1	20	19	108.028	0.2	0.0003199999999999999	0.0002962962962962962
30	1	9	6	102.03	0.1	0.0007904191616766467	0.000718562874251497
31	1	3	4	152.032	0.2	0.0008891846921797005	0.0007599869163929064
32	2	5	7	110.031	0.1	0.0002611592271818787	0.0002611592271818787
33	2	5	6	142.027	0.1	0.0	0.0
34	2	1	7	80.035	0.0666667	0.0005811396201266245	0.0004575902520682082
35	2	1	4	94.029	0.1	0.00042035251080811437	0.00040033572457915653
36	2	2	8	82.028	0.0666667	0.00042119293568810396	0.00033695434855048317
37	2	4	1	94.029	0.1	0.00042035251080811437	0.00040033572457915653
38	2	4	3	152.032	0.2	0.0	0.0
39	2	6	9	102.03	0.1	0.000546484505164945	0.0004968040956044955
40	2	6	5	142.027	0.1	0.0	0.0
41	2	19	20	108.028	0.2	0.0003465511496167945	0.00032088069408962454
42	2	8	2	82.028	0.0666667	0.00042119293568810396	0.00033695434855048317
43	2	7	1	80.035	0.0666667	0.0005811396201266245	0.0004575902520682082
44	2	7	5	110.031	0.1	0.0002611592271818787	0.0002611592271818787
45	2	20	19	108.028	0.2	0.0003465511496167945	0.00032088069408962454
46	2	9	6	102.03	0.1	0.000546484505164945	0.0004968040956044955
47	2	3	4	152.032	0.2	0.0	0.0
48	3	5	7	110.031	0.0	0.01442719093635455	0.01442719093635455
49	3	5	6	142.027	0.0	0.014688437187604136	0.01454300711643974
50	3	1	7	80.033	0.0	0.015050983005664771	0.011851167720995882
51	3	1	4	94.029	0.1	0.014528490503165615	0.01383665762206249
52	3	2	8	82.032	0.0333333	0.014944703530979344	0.011955762824783476
53	3	4	1	94.029	0.1	0.014528490503165615	0.01383665762206249
54	3	4	3	152.033	0.233333	0.013377748167888072	0.011433972793066727
55	3	6	9	102.031	0.133333	0.014262491672218526	0.01296590152019866
56	3	6	5	142.027	0.0	0.014688437187604136	0.01454300711643974
57	3	19	20	108.035	0.16666699999999998	0.013371542819060308	0.012381058165796582
58	3	8	2	82.032	0.0333333	0.014944703530979344	0.011955762824783476
59	3	7	1	80.033	0.0	0.015050983005664771	0.011851167720995882
60	3	7	5	110.031	0.0	0.01442719093635455	0.01442719093635455
61	3	20	19	108.035	0.16666699999999998	0.013371542819060308	0.012381058165796582
62	3	9	6	102.031	0.133333	0.014262491672218526	0.01296590152019866
63	3	3	4	152.033	0.233333	0.013377748167888072	0.011433972793066727
64	4	5	7	110.031	0.0	0.00032	0.00032
65	4	5	6	142.027	0.0	0.00032	0.00031683168316831684
66	4	1	7	80.033	0.0	0.00016010673782521675	0.00012606829750017067
67	4	1	4	94.029	0.1	0.0003195739014647137	0.0003043560966330607
68	4	2	8	82.032	0.0333333	0.00015978695073235686	0.0001278295605858855
69	4	4	1	94.029	0.1	0.0003195739014647137	0.0003043560966330607
70	4	4	3	152.033	0.233333	0.0005059920106524634	0.0004324718039764645
71	4	6	9	102.031	0.133333	0.00016010673782521675	0.00014555157984110612
72	4	6	5	142.027	0.0	0.00032	0.00031683168316831684
73	4	19	20	108.035	0.16666699999999998	0.00031957390146471356	0.0002959017606154755
74	4	8	2	82.032	0.0333333	0.00015978695073235686	0.0001278295605858855
75	4	7	1	80.033	0.0	0.00016010673782521675	0.00012606829750017067
76	4	7	5	110.031	0.0	0.00032	0.00032
77	4	20	19	108.035	0.16666699999999998	0.00031957390146471356	0.0002959017606154755
78	4	9	6	102.031	0.133333	0.00016010673782521675	0.00014555157984110612
79	4	3	4	152.033	0.233333	0.0005059920106524634	0.0004324718039764645
80	5	5	7	110.036	0.0333333	0.01567477507497501	0.01567477507497501
81	5	5	6	142.035	0.0333333	0.015659121171770974	0.015504080368090072
82	5	1	7	80.03	0.0	0.01619174434087883	0.012749404992817974
83	5	1	4	94.033	0.233333	0.01545672436750998	0.01472068987381903
84	5	2	8	82.029	0.0666667	0.015941372418387747	0.012753097934710198
85	5	4	1	94.033	0.233333	0.01545672436750998	0.01472068987381903
86	5	4	3	152.031	0.133333	0.012974700399467371	0.011089487520912282
87	5	6	9	102.037	0.0666667	0.014173710482529115	0.01288519134775374
88	5	6	5	142.035	0.0333333	0.015659121171770974	0.015504080368090072
89	5	19	20	108.034	0.133333	0.01375391797265755	0.012735109233942174
90	5	8	2	82.029	0.0666667	0.015941372418387747	0.012753097934710198
91	5	7	1	80.03	0.0	0.01619174434087883	0.012749404992817974
92	5	7	5	110.036	0.0333333	0.01567477507497501	0.01567477507497501
93	5	20	19	108.034	0.133333	0.01375391797265755	0.012735109233942174
94	5	9	6	102.037	0.0666667	0.014173710482529115	0.01288519134775374
95	5	3	4	152.031	0.133333	0.012974700399467371	0.011089487520912282
96	6	5	7	110.036	0.0333333	0.013151414309484197	0.013151414309484197
97	6	5	6	142.035	0.0333333	0.011838720426524488	0.011721505372796523
98	6	1	7	80.03	0.0	0.012943760399334448	0.01019193732231059
99	6	1	4	94.033	0.233333	0.010233610648918473	0.009746295856112832
100	6	2	8	82.029	0.0666667	0.012606868956318778	0.010085495165055023
101	6	4	1	94.033	0.233333	0.010233610648918473	0.009746295856112832
