	timeid	src	dst	delay	packetloss	link_usage	free_bandwidth
0	0	5	6		1.0	0.0	0.0
1	0	5	7		1.0	0.0	0.0
2	0	3	4		1.0	0.0	0.0
3	0	1	7		1.0	0.0	0.0
4	0	1	4		1.0	0.0	0.0
5	0	2	8		1.0	0.0	0.0
6	0	6	5		1.0	0.0	0.0
7	0	6	9		1.0	0.0	0.0
8	0	9	6		1.0	0.0	0.0
9	0	4	1		1.0	0.0	0.0
10	0	4	3		1.0	0.0	0.0
11	0	19	20		1.0	0.0	0.0
12	0	8	2		1.0	0.0	0.0
13	0	7	1		1.0	0.0	0.0
14	0	7	5		1.0	0.0	0.0
15	0	20	19		1.0	0.0	0.0
16	1	5	6		1.0	0.000373457819273091	0.00028508230478861907
17	1	5	7		1.0	0.0005328005328005328	0.0007104007104007104
18	1	3	4		1.0	0.0007578385590393596	0.0006263128587102146
19	1	1	7		1.0	0.0004448884448884449	0.0002513494038917768
20	1	1	4		1.0	0.0001601067378252168	0.00012411375025210604
21	1	2	8		1.0	0.00044563042028018677	0.0005434517320490082
22	1	6	5		1.0	0.000373457819273091	0.00028508230478861907
23	1	6	9		1.0	0.0005336891260840559	0.0004073962794534778
24	1	9	6		1.0	0.0005336891260840559	0.0004073962794534778
25	1	4	1		1.0	0.0001601067378252168	0.00012411375025210604
26	1	4	3		1.0	0.0007578385590393596	0.0006263128587102146
27	1	19	20		1.0	0.0007316421895861149	0.0005715954606141523
28	1	8	2		1.0	0.00044563042028018677	0.0005434517320490082
29	1	7	1		1.0	0.0004448884448884449	0.0002513494038917768
30	1	7	5		1.0	0.0005328005328005328	0.0007104007104007104
31	1	20	19		1.0	0.0007316421895861149	0.0005715954606141523
32	2	5	6	74.033	0.0	0.000890369876707764	0.0006796716616089801
33	2	5	7	96.026	0.0	0.0006051316227924025	0.0008068421637232032
34	2	3	4	106.026	0.0666667	0.00031978680879413726	0.00026428661883812996
35	2	1	7	76.027	0.0666667	0.00031978680879413726	0.0001806705134430154
36	2	1	4	78.028	0.0333333	0.00015989340439706863	0.00012394837550160358
37	2	2	8	86.03	0.1	0.00031978680879413726	0.000389983913163582
38	2	6	5	74.033	0.0	0.000890369876707764	0.0006796716616089801
39	2	6	9	94.031	0.133333	0.0007304231922692435	0.0005575749559307202
40	2	9	6	94.031	0.133333	0.0007304231922692435	0.0005575749559307202
41	2	4	1	78.028	0.0333333	0.00015989340439706863	0.00012394837550160358
42	2	4	3	106.026	0.0666667	0.00031978680879413726	0.00026428661883812996
43	2	19	20	114.031	0.0333333	0.00031978680879413726	0.0002498334443704197
44	2	8	2	86.03	0.1	0.00031978680879413726	0.000389983913163582
45	2	7	1	76.027	0.0666667	0.00031978680879413726	0.0001806705134430154
46	2	7	5	96.026	0.0	0.0006051316227924025	0.0008068421637232032
47	2	20	19	114.031	0.0333333	0.00031978680879413726	0.0002498334443704197
48	3	5	6	74.033	0.0	0.00773608797067644	0.005905410664638505
49	3	5	7	96.026	0.0	0.007053648783738753	0.009404865044985004
50	3	3	4	106.026	0.0666667	0.00789603465511496	0.0065256484753016195
51	3	1	7	76.027	0.0666667	0.0074748417194268595	0.004223074417755288
52	3	1	4	78.028	0.0333333	0.008082639120293235	0.006265611721157547
53	3	2	8	86.03	0.1	0.0070536487837387545	0.00860201071187653
54	3	6	5	74.033	0.0	0.00773608797067644	0.005905410664638505
55	3	6	9	94.031	0.133333	0.0063285571476174585	0.004830959654669816
56	3	9	6	94.031	0.133333	0.0063285571476174585	0.004830959654669816
57	3	4	1	78.028	0.0333333	0.008082639120293235	0.006265611721157547
58	3	4	3	106.026	0.0666667	0.00789603465511496	0.0065256484753016195
59	3	19	20	114.031	0.0333333	0.007325558147284238	0.005723092302565811
60	3	8	2	86.03	0.1	0.0070536487837387545	0.00860201071187653
61	3	7	1	76.027	0.0666667	0.0074748417194268595	0.004223074417755288
62	3	7	5	96.026	0.0	0.007053648783738753	0.009404865044985004
63	3	20	19	114.031	0.0333333	0.007325558147284238	0.005723092302565811
64	4	5	6	74.03	0.0	0.00825858047317561	0.006304259903187488
65	4	5	7	96.028	0.0333333	0.008621126291236257	0.011494835054981677
66	4	3	4	106.028	0.0666667	0.0070536487837387545	0.005829461804742773
67	4	1	7	76.031	0.0666667	0.007997334221926026	0.004518267921992105
68	4	1	4	78.032	0.0333333	0.008186666666666667	0.006346253229974161
69	4	2	8	86.028	0.0333333	0.007213595468177275	0.008797067644118629
70	4	6	5	74.03	0.0	0.00825858047317561	0.006304259903187488
71	4	6	9	94.027	0.1	0.008522666666666666	0.006505852417302798
72	4	9	6	94.027	0.1	0.008522666666666666	0.006505852417302798
73	4	4	1	78.032	0.0333333	0.008186666666666667	0.006346253229974161
74	4	4	3	106.028	0.0666667	0.0070536487837387545	0.005829461804742773
75	4	19	20	114.029	0.0666667	0.009093333333333333	0.007104166666666667
76	4	8	2	86.028	0.0333333	0.007213595468177275	0.008797067644118629
77	4	7	1	76.031	0.0666667	0.007997334221926026	0.004518267921992105
78	4	7	5	96.028	0.0333333	0.008621126291236257	0.011494835054981677
79	4	20	19	114.029	0.0666667	0.009093333333333333	0.007104166666666667
80	5	5	6	74.03	0.0	0.0003197868087941372	0.00024411206778178414
81	5	5	7	96.028	0.0333333	0.0003197868087941372	0.00042638241172551625
82	5	3	4	106.028	0.0666667	0.0005063291139240509	0.0004184538131603726
83	5	1	7	76.031	0.0666667	0.0005063291139240502	0.0002860616462847741
84	5	1	4	78.032	0.0333333	0.0001598934043970686	0.00012394837550160355
85	5	2	8	86.028	0.0333333	0.0005063291139240502	0.000617474529175671
86	5	6	5	74.03	0.0	0.0003197868087941372	0.00024411206778178414
87	5	6	9	94.027	0.1	0.0001598934043970686	0.00012205603389089207
88	5	9	6	94.027	0.1	0.0001598934043970686	0.00012205603389089207
89	5	4	1	78.032	0.0333333	0.0001598934043970686	0.00012394837550160355
90	5	4	3	106.028	0.0666667	0.0005063291139240509	0.0004184538131603726
91	5	19	20	114.029	0.0666667	0.00031978680879413737	0.00024983344437041983
92	5	8	2	86.028	0.0333333	0.0005063291139240502	0.000617474529175671
93	5	7	1	76.031	0.0666667	0.0005063291139240502	0.0002860616462847741
94	5	7	5	96.028	0.0333333	0.0003197868087941372	0.00042638241172551625
95	5	20	19	114.029	0.0666667	0.00031978680879413737	0.00024983344437041983
96	6	5	6	74.031	0.0666667	0.016197136197136197	0.012364226104684118
97	6	5	7	96.027	0.0333333	0.01556828780812792	0.020757717077503894
98	6	3	4	106.027	0.0666667	0.015672327672327672	0.01295233691927907
99	6	1	7	76.027	0.0333333	0.015355096602265163	0.008675195820488792
100	6	1	4	78.026	0.1	0.016031968031968033	0.012427882195324057
101	6	2	8	86.032	0.0	0.016058608058608058	0.019583668364156166
102	6	6	5	74.031	0.0666667	0.016197136197136197	0.012364226104684118
103	6	6	9	94.026	0.0333333	0.014865134865134865	0.01134743119475944
104	6	9	6	94.026	0.0333333	0.014865134865134865	0.01134743119475944
105	6	4	1	78.026	0.1	0.016031968031968033	0.012427882195324057
106	6	4	3	106.027	0.0666667	0.015672327672327672	0.01295233691927907
107	6	19	20	114.027	0.16666699999999998	0.01514219114219114	0.011829836829836828
108	6	8	2	86.032	0.0	0.016058608058608058	0.019583668364156166
109	6	7	1	76.027	0.0333333	0.015355096602265163	0.008675195820488792
110	6	7	5	96.027	0.0333333	0.01556828780812792	0.020757717077503894
111	6	20	19	114.027	0.16666699999999998	0.01514219114219114	0.011829836829836828
112	7	5	6	74.031	0.0666667	0.0007309103034344785	0.0005579467965148691
113	7	5	7	96.027	0.0333333	0.0009173333333333334	0.001223111111111111
114	7	3	4	106.027	0.0666667	0.0002853333333333333	0.0002358126721763085
115	7	1	7	76.027	0.0333333	0.00034666666666666667	0.00019585687382297552
116	7	1	4	78.026	0.1	0.00016	0.00012403100775193799
117	7	2	8	86.032	0.0	0.00016	0.0001951219512195122
118	7	6	5	74.031	0.0666667	0.0007309103034344785	0.0005579467965148691
119	7	6	9	94.026	0.0333333	0.000632	0.000482442748091603
120	7	9	6	94.026	0.0333333	0.000632	0.000482442748091603
121	7	4	1	78.026	0.1	0.00016	0.00012403100775193799
122	7	4	3	106.027	0.0666667	0.0002853333333333333	0.0002358126721763085
123	7	19	20	114.027	0.16666699999999998	0.00032010670223407776	0.00025008336112037325
124	7	8	2	86.032	0.0	0.00016	0.0001951219512195122
125	7	7	1	76.027	0.0333333	0.00034666666666666667	0.00019585687382297552
126	7	7	5	96.027	0.0333333	0.0009173333333333334	0.001223111111111111
127	7	20	19	114.027	0.16666699999999998	0.00032010670223407776	0.00025008336112037325
128	8	5	6	74.029	0.0333333	0.01546702198534311	0.011806887011712298
129	8	5	7	96.028	0.0666667	0.01572818121252497	0.02097090828336663
130	8	3	4	106.027	0.1	0.015205862758161213	0.01256682872575307
131	8	1	7	76.025	0.1	0.01572818121252497	0.008885978086172301
132	8	1	4	78.026	0.0	0.014784810126582284	0.011461093121381615
133	8	2	8	86.027	0.0333333	0.0158294470353098	0.019304203701597317
134	8	6	5	74.029	0.0333333	0.01546702198534311	0.011806887011712298
135	8	6	9	94.028	0.0666667	0.015307128580946043	0.011684830977821407
136	8	9	6	94.028	0.0666667	0.015307128580946043	0.011684830977821407
137	8	4	1	78.026	0.0	0.014784810126582284	0.011461093121381615
138	8	4	3	106.027	0.1	0.015205862758161213	0.01256682872575307
139	8	19	20	114.032	0.0333333	0.014534310459693544	0.011354930046635582
140	8	8	2	86.027	0.0333333	0.0158294470353098	0.019304203701597317
141	8	7	1	76.025	0.1	0.01572818121252497	0.008885978086172301
142	8	7	5	96.028	0.0666667	0.01572818121252497	0.02097090828336663
143	8	20	19	114.032	0.0333333	0.014534310459693544	0.011354930046635582
144	9	5	6	74.029	0.0333333	0.010345103264490332	0.007897025392740712
145	9	5	7	96.028	0.0666667	0.009303565478173938	0.012404753970898583
146	9	3	4	106.027	0.1	0.00877814790139907	0.007254667687106669
147	9	1	7	76.025	0.1	0.009561625582944707	0.005402048351946162
148	9	1	4	78.026	0.0	0.0108674217188541	0.008424357921592325
149	9	2	8	86.027	0.0333333	0.010504996668887412	0.012810971547423671
150	9	6	5	74.029	0.0333333	0.010345103264490332	0.007897025392740712
151	9	6	9	94.028	0.0666667	0.009561625582944697	0.00729895082667534
152	9	9	6	94.028	0.0666667	0.009561625582944697	0.00729895082667534
153	9	4	1	78.026	0.0	0.0108674217188541	0.008424357921592325
154	9	4	3	106.027	0.1	0.00877814790139907	0.007254667687106669
155	9	19	20	114.032	0.0333333	0.010504996668887412	0.00820702864756829
156	9	8	2	86.027	0.0333333	0.010504996668887412	0.012810971547423671
157	9	7	1	76.025	0.1	0.009561625582944707	0.005402048351946162
158	9	7	5	96.028	0.0666667	0.009303565478173938	0.012404753970898583
159	9	20	19	114.032	0.0333333	0.010504996668887412	0.00820702864756829
160	10	5	6	74.028	0.0	0.005281812125249836	0.00403191765286247
161	10	5	7	96.028	0.0666667	0.0061472842385871355	0.008196378984782848
162	10	3	4	106.026	0.1	0.006065289806795464	0.0050126362039631936
163	10	1	7	76.028	0.0666667	0.00546302465023318	0.003086454604651514
164	10	1	4	78.031	0.0666667	0.005121918720852767	0.003970479628568036
165	10	2	8	86.029	0.0	0.00546302465023318	0.006662225183211195
166	10	6	5	74.028	0.0	0.005281812125249836	0.00403191765286247
167	10	6	9	94.029	0.0333333	0.005646117960679771	0.004310013710442573
168	10	9	6	94.029	0.0333333	0.005646117960679771	0.004310013710442573
169	10	4	1	78.031	0.0666667	0.005121918720852767	0.003970479628568036
170	10	4	3	106.026	0.1	0.006065289806795464	0.0050126362039631936
171	10	19	20	114.03	0.0333333	0.005121918720852773	0.004001499000666229
172	10	8	2	86.029	0.0	0.00546302465023318	0.006662225183211195
173	10	7	1	76.028	0.0666667	0.00546302465023318	0.003086454604651514
174	10	7	5	96.028	0.0666667	0.0061472842385871355	0.008196378984782848
175	10	20	19	114.03	0.0333333	0.005121918720852773	0.004001499000666229
176	11	5	6	74.028	0.0	0.06798000666444523	0.05189313485835514
177	11	5	7	96.028	0.0666667	0.0669670109963346	0.0892893479951128
178	11	3	4	106.026	0.1	0.0013062312562479182	0.0010795299638412547
179	11	1	7	76.028	0.0666667	0.10796533333333333	0.060997363465160076
180	11	1	4	78.031	0.0666667	0.107688	0.08347906976744186
181	11	2	8	86.029	0.0	0.0017274241919360226	0.0021066148682146618
182	11	6	5	74.028	0.0	0.06798000666444523	0.05189313485835514
183	11	6	9	94.029	0.0333333	0.0014661779406864388	0.0011192198020507167
184	11	9	6	94.029	0.0333333	0.0014661779406864388	0.0011192198020507167
185	11	4	1	78.031	0.0666667	0.107688	0.08347906976744186
186	11	4	3	106.026	0.1	0.0013062312562479182	0.0010795299638412547
187	11	19	20	114.03	0.0333333	0.0014661779406864388	0.0011454515161612804
188	11	8	2	86.029	0.0	0.0017274241919360226	0.0021066148682146618
189	11	7	1	76.028	0.0666667	0.10796533333333333	0.060997363465160076
190	11	7	5	96.028	0.0666667	0.0669670109963346	0.0892893479951128
191	11	20	19	114.03	0.0333333	0.0014661779406864388	0.0011454515161612804
192	12	5	6	74.025	0.0	0.27372151898734154	0.20894772441781795
193	12	5	7	96.025	0.0333333	0.27758027981345745	0.3701070397512766
194	12	3	4	106.025	0.0333333	0.013217854763490995	0.010923846911976029
195	12	1	7	76.027	0.0666667	0.25337774816788783	0.14315127015134904
196	12	1	4	78.032	0.1	0.25267954696868733	0.19587561780518398
197	12	2	8	86.024	0.0666667	0.014422385076615578	0.017588274483677533
198	12	6	5	74.025	0.0	0.27372151898734154	0.20894772441781795
199	12	6	9	94.025	0.0333333	0.01426724425191604	0.010891026146500794
200	12	9	6	94.025	0.0333333	0.01426724425191604	0.010891026146500794
201	12	4	1	78.032	0.1	0.25267954696868733	0.19587561780518398
202	12	4	3	106.025	0.0333333	0.013217854763490995	0.010923846911976029
203	12	19	20	114.027	0.0	0.0141612258494337	0.011063457694870079
204	12	8	2	86.024	0.0666667	0.014422385076615578	0.017588274483677533
205	12	7	1	76.027	0.0666667	0.25337774816788783	0.14315127015134904
206	12	7	5	96.025	0.0333333	0.27758027981345745	0.3701070397512766
207	12	20	19	114.027	0.0	0.0141612258494337	0.011063457694870079
208	13	5	6	74.025	0.0	0.152528	0.11643358778625953
209	13	5	7	96.025	0.0333333	0.15965344885038335	0.21287126513384447
210	13	3	4	106.025	0.0333333	0.00032	0.00026446280991735543
211	13	1	7	76.027	0.0666667	0.16760533333333336	0.09469227871939738
212	13	1	4	78.032	0.1	0.17182933333333333	0.13320103359173127
213	13	2	8	86.024	0.0666667	0.0005544818393868714	0.0006761973651059407
214	13	6	5	74.025	0.0	0.152528	0.11643358778625953
215	13	6	9	94.025	0.0333333	0.00015994668443852024	0.00012209670567825973
216	13	9	6	94.025	0.0333333	0.00015994668443852024	0.00012209670567825973
217	13	4	1	78.032	0.1	0.17182933333333333	0.13320103359173127
218	13	4	3	106.025	0.0333333	0.00032	0.00026446280991735543
219	13	19	20	114.027	0.0	0.00016	0.000125
220	13	8	2	86.024	0.0666667	0.0005544818393868714	0.0006761973651059407
221	13	7	1	76.027	0.0666667	0.16760533333333336	0.09469227871939738
222	13	7	5	96.025	0.0333333	0.15965344885038335	0.21287126513384447
223	13	20	19	114.027	0.0	0.00016	0.000125
224	14	5	6	74.028	0.0333333	0.11675041652782416	0.08912245536475126
225	14	5	7	96.029	0.0666667	0.10849183605464853	0.14465578140619803
226	14	3	4	106.025	0.0333333	0.015413528823725438	0.012738453573326808
227	14	1	7	76.025	0.0	0.12038374417055286	0.06801341478562309
228	14	1	4	78.028	0.0	0.12319786808794127	0.09550222332398547
229	14	2	8	86.028	0.0666667	0.015392202599133634	0.01877097877943126
230	14	6	5	74.028	0.0333333	0.11675041652782416	0.08912245536475126
231	14	6	9	94.024	0.16666699999999998	0.015307128580946024	0.011684830977821392
232	14	9	6	94.024	0.16666699999999998	0.015307128580946024	0.011684830977821392
233	14	4	1	78.028	0.0	0.12319786808794127	0.09550222332398547
234	14	4	3	106.025	0.0333333	0.015413528823725438	0.012738453573326808
235	14	19	20	114.031	0.0333333	0.01582944703530978	0.012366755496335764
236	14	8	2	86.028	0.0666667	0.015392202599133634	0.01877097877943126
237	14	7	1	76.025	0.0	0.12038374417055286	0.06801341478562309
